2018-11-05 0:00,CNNW,41,CNNW_20181104_230000_Situation_Room_With_Wolf_Blitzer/start/3600,HIGH STAKES RACES BIGNAMES CAMPAIGNING
2018-11-05 0:00,MSNBCW,10,MSNBCW_20181104_230000_Meet_the_Press/start/3600,MIDTERM MADNESS TWD DAYS AND COUNTING KASIE HUNT WHAT VOTERS WANT ON THE GROUND IN STATES OF PLAY SIGNAL VS NOISE THE ISSUES THAT MATTER HEADED INTO TUESDAY
2018-11-05 0:01,CNNW,50,CNNW_20181105_000000_Anderson_Cooper_360/start/60,HIGH STAKES RACES BIGNAMES CAMPAIGNING TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS HIGH STAKES RACES BIGNAMES CAMPAIGNING  Boris Sanchez JW White House
2018-11-05 0:01,FOXNEWSW,22,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/60,FKTQ I1 I
2018-11-05 0:01,MSNBCW,21,MSNBCW_20181105_000000_Kasie_DC/start/60,SIGNAL VS NOISE THE ISSUES THAT MATTER HEADED INTO TUESDAY
2018-11-05 0:02,CNNW,62,CNNW_20181105_000000_Anderson_Cooper_360/start/120,TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS
2018-11-05 0:02,FOXNEWSW,9,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/120,ABBY FINKENAUER DIA US CONGRESSIONAL CANDIDATE 201c  O    IEWS DAY IEWS DAY
2018-11-05 0:02,MSNBCW,11,MSNBCW_20181105_000000_Kasie_DC/start/120,MIDTERM MADNESS TWD DAYS AND COUNTING
2018-11-05 0:03,CNNW,47,CNNW_20181105_000000_Anderson_Cooper_360/start/180,TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS  Boris Sanchez JW White House Correspondent
2018-11-05 0:03,FOXNEWSW,12,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/180,IEWS DAY  H  H
2018-11-05 0:03,MSNBCW,33,MSNBCW_20181105_000000_Kasie_DC/start/180,NBCWSJ PDLL DEMOCRATS HDLD 7PDINT EDGE DN GENERIC BALLDT MIDTERM MADNESS TWD DAYS AND COUNTING COOK POLITICAL REPORT DAVID WASSERMAN HOUSE emmn
2018-11-05 0:04,CNNW,61,CNNW_20181105_000000_Anderson_Cooper_360/start/240,TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS
2018-11-05 0:04,MSNBCW,47,MSNBCW_20181105_000000_Kasie_DC/start/240,NBCWSJ PDLL DEMOCRATS HDLD 7PDINT EDGE DN GENERIC BALLDT ASSOCIATED PRESS JUNATHA LEMRE WHITE HOUSE REPORTER
2018-11-05 0:05,BBCNEWS,13,BBCNEWS_20181105_000000_Newsday/start/300,FLOODS IN ITALY Nine members of same 1amin have died in Sicily  fb02oods IRAN SANCTIONS PROTEST Progovernment supporters denounce US sanctions
2018-11-05 0:05,FOXNEWSW,16,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/300,CAN THE DEMOCRATS FLIP THE SENATE
2018-11-05 0:05,MSNBCW,29,MSNBCW_20181105_000000_Kasie_DC/start/300,NBCWSJ PDLL DEMOCRATS HDLD 7PDINT EDGE DN GENERIC BALLDT SIGNAL VS NOISE THE ISSUES THAT MATTER HEADED INTD TUESDAY
2018-11-05 0:06,BBCNEWS,20,BBCNEWS_20181105_000000_Newsday/start/360,UK BREXIT CAMPAIGN SPENDING Arron Banks denies any wrongdoing in spending probe
2018-11-05 0:06,CNNW,57,CNNW_20181105_000000_Anderson_Cooper_360/start/360,TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS OBAMA NOBODY IN MY ADMINISTRATION GOT INDICTED
2018-11-05 0:06,FOXNEWSW,38,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/360,WHICH REPUBLICAN SEATS DO DEMOCRATS THINK THEY CAN WIN     IEWS DAY RED STATE REPUBLICANS SAY IMMIGRATION IS A TOP ISSUE
2018-11-05 0:06,MSNBCW,41,MSNBCW_20181105_000000_Kasie_DC/start/360,SIGNAL VS NOISE THE ISSUES THAT MATTER HEADED INTD TUESDAY PBS NEWSHUUR YAMCHE ALCNDOR WHITE HOUSE CORRESPONDENT
2018-11-05 0:07,FOXNEWSW,15,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/420,RED STATE REPUBLICANS SAY IMMIGRATION IS A TOP ISSUE  W 201cP m M     IEWS DAY RED STATE REPUBLICANS SAY IMMIGRATION IS A TOP ISSUE     I IEWS DAY
2018-11-05 0:07,MSNBCW,10,MSNBCW_20181105_000000_Kasie_DC/start/420,DEMOCRATS EYE HOUSE FRET ABOUT SENATE IN CLOSING DAYS SIGNAL VS NOISE THE ISSUES THAT MATTER HEADED INTD TUESDAY
2018-11-05 0:08,BBCNEWS,28,BBCNEWS_20181105_000000_Newsday/start/480,NEWSDAY Singapore O8O8
2018-11-05 0:08,CNNW,41,CNNW_20181105_000000_Anderson_Cooper_360/start/480,PRESIDENT TRUMP FORMER PRESIDENT OBAMA CAMPAIGN IN TIGHT RACES ACROSS THE COUNTRY TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS    Gloria Borger CJll Chief Political Analyst TRUMP OBAMA MAKE CLOSING
2018-11-05 0:08,MSNBCW,62,MSNBCW_20181105_000000_Kasie_DC/start/480,WHAT VOTERS WANT ON THE GROUND IN STATES OF PLAY
2018-11-05 0:09,FOXNEWSW,24,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/540,STRONG ECONOMIC NUMBERS GIVE REPUBLICANS A BOOST     IEW 00e9 DAY STRONG ECONOMIC NUMBERS GIVE REPUBLICANS A BOOST  WYr 1 u     IEWS DAY
2018-11-05 0:09,MSNBCW,45,MSNBCW_20181105_000000_Kasie_DC/start/540,IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS WHAT VOTERS WANT ON THE GROUND IN STATES OF PLAY
2018-11-05 0:10,BBCNEWS,11,BBCNEWS_20181105_000000_Newsday/start/600,STAYING WITH FRANCE FATHERHOOD WARNING
2018-11-05 0:10,CNNW,48,CNNW_20181105_000000_Anderson_Cooper_360/start/600,OBAMA NOBODY IN MY ADMINISTRATION GOT INDICTED OBAMA NOBODY IN MY ADMINISTRATION GOT INDICTED  Nia 2014Malika Henderson OW SeniorPolitical Reporter PRESIDENT TRUMP FORMER
2018-11-05 0:10,FOXNEWSW,14,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/600,STRONG ECONOMIC NUMBERS GIVE REPUBLICANS A BOOST     DAY CAN THE DEMOCRATS FLIP THE SENATE      l IEWS DAY
2018-11-05 0:10,MSNBCW,34,MSNBCW_20181105_000000_Kasie_DC/start/600,TRUMP MAKES IMMIGRATION CENTERPIECE OF CLOSING ARGUMENT ASSOCIATED PRESS JONATHAN LEMRE WHITE HOUSE REPORTER IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS
2018-11-05 0:11,CNNW,49,CNNW_20181105_000000_Anderson_Cooper_360/start/660,PRESIDENT TRUMP FORMER PRESIDENT OBAMA CAMPAIGN IN TIGHT RACES ACROSS THE COUNTRY TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS TRUMP OBAMA MAKE CLOSING ARGUMENTS AHEAD OF MIDTERMS  David Urban Former Trump
2018-11-05 0:11,FOXNEWSW,13,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/660,DOES ILLEGAL IMMIGRATION FOCUS RISK TURNING OFF INDEPENDENTS      IEWS DAY
2018-11-05 0:11,MSNBCW,43,MSNBCW_20181105_000000_Kasie_DC/start/660,TRUMP MAKES IMMIGRATION CENTERPIECE OF CLOSING ARGUMENT IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS
2018-11-05 0:12,MSNBCW,54,MSNBCW_20181105_000000_Kasie_DC/start/720,IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS GOV SCOTT WALKER  R WISCONSIN
2018-11-05 0:13,FOXNEWSW,19,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/780,SHOULD REPUBLICANS FOCUS MORE ON AN ECONOMIC MESSAGE      IEWS DAY DOES ILLEGAL IMMIGRATION FOCUS RISK TURNING OFF INDEPENDENTS      IEWS DAY DOES ILLEGAL IMMIGRATION FOCUS RISK TURNING OFF
2018-11-05 0:13,MSNBCW,51,MSNBCW_20181105_000000_Kasie_DC/start/780,IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS PBS NEWSHUUR YAMCHE ALCNDOR WHITE HOUSE CORRESPONDENT
2018-11-05 0:14,FOXNEWSW,10,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/840,SHOULD REPUBLICANS FOCUS MORE ON AN ECONOMIC MESSAGE   201cFWTWQ      IEWS DAY
2018-11-05 0:14,MSNBCW,40,MSNBCW_20181105_000000_Kasie_DC/start/840,IS HEALTH CARE THE DRIVING ISSUE IN THE MIDTERMS
2018-11-05 0:15,BBCNEWS,5,BBCNEWS_20181105_000000_Newsday/start/900,WALTER ZWEIFEL Radio New Zealand Reporter
2018-11-05 0:15,FOXNEWSW,18,FOXNEWSW_20181105_000000_Fox_News_Sunday_With_Chris_Wallace/start/900,SHOULD REPUBLICANS FOCUS MORE ON AN ECONOMIC MESSAGE      IEWS DAY DEMOCRATS ARE FOCUSING ON HEALTH CARE      IEWS DAY
2018-11-05 0:15,MSNBCW,10,MSNBCW_20181105_000000_Kasie_DC/start/900,DEMOCRATS TRY TO WIN OUT WEST
2018-11-05 0:16,BBCNEWS,14,BBCNEWS_20181105_000000_Newsday/start/960,EMMANUEL MACRON French President
